sample_id,finding_id,category,severity,security_relevant,rationale,note,artifact_path,line_number,code_excerpt,review_type,report_path
CodeLlama,MF-0001,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/aes_fewshot_01.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0002,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/aes_fewshot_01.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0003,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/aes_zero_01.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0004,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/aes_zero_01.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0005,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/chacha_cot_01.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0006,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/chacha_cot_01.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0007,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/chacha_fewshot_01.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0008,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/chacha_fewshot_01.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0009,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/chacha_zero_01.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0010,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/chacha_zero_01.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0011,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/src/main.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
CodeLlama,MF-0012,hardcoded_nonce,medium,yes,Literal or constant nonce material detected; fixed nonces can break AEAD security when reused.,Heuristic triage only; confirm actual runtime reuse and cipher context before treating as a vulnerability.,pipeline_output/projects_repaired/CodeLlama/src/main.rs,18,let nonce: [u8; 12] = OsRng.gen();\,heuristic_triage,pipeline_output/reports/CodeLlama/manual_review.txt
